"FIGURE 1. Cyclaspis adiastolos adult female. A, whole animal in lateral view; B, carapace andpedigerous somites in dorsal view; C, antenna 1; D, right mandible; E, tip of the left mandibleshowing the lacinia mobilis; F, maxilla 1; G, maxilliped 2.","nonphylo"
"FIGURE 2. Cyclaspis adiastolos adult female. A, maxilliped 3; B, pereopod 1; C, pereopod 2; D,pereeopod 3; E, pereopod 4; F, pereopod 5; G, uropod.","nonphylo"
"FIGURE 3. Cyclaspis adiastolos adult male. A, carapace, pedigerous somites and three abdominalsomites in lateral view; B, carapace and pedigerous somites in dorsal view; C, uropod.","nonphylo"
"FIGURE 4. Eocuma carinocurvum sp. nov., adult female, holotype. A, whole animal in lateralview; B, dorsal view of the carapace; C, ventral view of the carapace; D, antennule.","nonphylo"
"FIGURE 5. Eocuma carinocurvum sp. nov., adult female, holotype. A, maxilliped 3; B, pereopod1; C, pereopod 2; D, pereopod 3; E, pereopod 4; F, pereopod 5; G, uropod.","nonphylo"
"FIGURE 6. Eocuma travancoricum Kurian 1951, adult female. A, whole animal in lateral view; B,antennule; C, mandible; D, maxillule; E, maxilla; F, maxilliped 1.","nonphylo"
"FIGURE 7. Eocuma travancoricum Kurian 1951, adult female. A, maxilliped 2; B, maxilliped 3;C, pereopod 1; D, pereopod 2; E, pereopod 3; F, pereopod 4; G, pereopod 5; H, uropod.","nonphylo"
"FIGURE 8. Eocuma travancoricum Kurian 1951, adult male. A, carapace in lateral view; B,antennule; C, peduncle of antenna (first segment lost during dissection); D, pereopod 2; E, uropod.","nonphylo"
"FIGURE 9. Heterocuma inerme sp. nov., adult female. A, whole animal in lateral view; B,antennule and antenna; C, left mandible; D, labium; E, maxillule; F, maxilla; G, maxilliped 1.","nonphylo"
"FIGURE 10. Heterocuma inerme sp. nov., adult female. A, maxilliped 3; B, pereopod 1; C,pereopod 2; D, pereopod 3; E, pereopod 4; F, pereopod 5; G, uropod.","nonphylo"
"FIGURE 11. Heterocuma inerme sp. nov., adult male. A, carapace and pedigerous somites inlateral view; B, antennule; C, pereopod 1; D, pereopod 2; E, uropod.","nonphylo"
"FIGURE 12. Pseudosympodomma persicum sp. nov., adult female. A, whole animal in lateralview; B, antennule; C, right mandible; D, tip of the left mandible; E, maxillule; F, enlarged tipofmaxillule; G, maxilla; H, maxilliped 1. Scale bar: A = 1 mm; B, C, E, G, H = 0.2 mm; D, F = 0.1","nonphylo"
"FIGURE 13. Pseudosympodomma persicum sp. nov., adult female. A, maxilliped 2; B maxilliped3; C, pereopod 1; D, pereopod 2; E, pereopod 3; F, pereopod 4; G, pereopod 5; H, uropod.","nonphylo"
